square,north,east,flake_(n),blade_(n),blade_fragment_(n),core_(n),burin_flake_(n),burin_blade_(n),burin_blade_fragment_(n),scraper_flake_(n),scraper_blade_(n),scraper_blade_fragment_(n),borer_(n),borer_fragment_(n),borer_blade_fragment_(n),zinken_(n),zinken_fragment_(n),projectile_(n),total_count,cortex,retouche,patina_white,patina_yellow,burnt
1,10,3,2,,1,,,,,,,,,,,,,,3,,,,,1
2,10,4,15,,,,,,,,,,,,,,,,15,,,,,0
3,10,5,2,2,2,,,,,,,1,,,,,,,7,3,2,3,,0
4,10,6,2,,,,,,,,,,,,,,,,2,1,,,,0
5,10,7,1,2,,,,,,,,,,,,,,,3,,,,,0
6,10,8,14,,1,,,,,,,,,,,,,,15,1,,3,,0
7,10,9,1,2,,,,,,,,,,,,,,,3,,,2,,0
8,10,10,1,,,,,,,,,,,,,,,,1,,,,,0
9,10,11,,,,,,,,,,,,,,,,,0,,,,,0
10,11,3,,,,,,,,,,,,,,,,,0,,,,,0
11,11,4,6,,1,,,,,,,,,,,,1,,8,1,1,2,,0
12,11,5,14,,,,,,,,,,,,,,,,14,1,,,,0
13,11,6,2,,,,,,,,,,,,,,,,2,,,,,0
14,11,7,,,,,,,,,,,,,,,,,0,,,,,0
15,11,8,1,,,,,,,,,,,,,,,,1,,,,,1
16,11,9,1,,,,,,,,,,,,,,,,1,,,,,0
17,11,10,,,1,,,,,,,,,,,,,,1,,,,,0
18,11,11,4,,,,,,,,,,,,,,,,4,,,,,0
19,12,3,,,,,,,,,,,,,,,,,0,,,,,0
20,12,4,,,,,,,,,,,,,,,,,0,,,,,0
21,12,5,9,,,,,,,,,,,,,,,,9,,,,,0
22,12,6,,1,,,,,,,,,,,,,,,1,,,1,,0
23,12,7,,,1,,,,,,,,,,,,,,1,,,,,0
24,12,8,2,,1,,,,,,,,,,,,,,3,,,,,0
25,12,9,6,,,,,,,,,,,,,,,,6,,,,,0
26,12,10,,,,,,,,,,,,,,,,,0,,,,,0
27,12,11,2,,,,,,,,,,,,,,,,2,,,,,0
28,13,3,,,,,,,,,,,,,,,,,0,,,,,0
29,13,4,,,,,,,,,,,,,,,,,0,,,,,0
30,13,5,23,,,,,,,,,,,,,,,,23,2,,,,1
31,13,6,19,,,,,,,,,,,,,,,,19,1,1,1,,1
32,13,7,24,1,,,,,,,,,,,,,,,25,,,,,0
33,13,8,17,,,,,,,,,,,,,,,,17,2,,,,0
