count,artefact,code,id,investigator,investigator_id,code_data,site,country,long,lat,recovery_method,classification,raw_material,ba_1_1,ba_1_2,ba_1_3,ba_1_4,ba_1_5,ba_1_6,ba_1_7,ba_1_8,ba_1_9,ba_1_10,ba_2_1,ba_2_2,ba_2_3,ba_2_4,ba_2_5,ba_2_6,ba_2_7,ba_2_8,ba_2_9,ba_2_10,ba_2_11,ba_3_1,ba_3_2,ba_3_3,ba_3_4,ba_4_1,ba_4_2,ba_4_3,ba_5_1,ba_5_2,ba_5_3,ba_6_1,ba_6_2,ba_6_3,ba_6_4,ba_6_5,ba_7_1,ba_7_2,ba_7_3,ba_7_4,ba_7_5,ba_7_6,ba_7_7,ba_8_1,ba_9_1,ba_9_2,ba_9_3,ba_9_4,ba_10_1,ba_10_2,ba_10_3,ba_10_4,ba_10_5,ba_10_6,ba_10_7,ba_11_1,ba_11_2,ba_11_3,ba_11_4,ba_12_1,ba_12_2,ba_12_3,ba_12_4,ba_12_5,ba_12_6,ba_12_7,ba_13_1,ba_13_2,ba_13_3,ba_13_4,length,width,thickness,weight,reference
1,Blade,VKH 415,415x2_F2,JBP,2021_16,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,77.2,19.1,7.8,10.30,(Fischer 1988)
2,Blade,VKH 415,415x2_17,JBP,2021_17,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,56.3,18.7,6.7,5.55,(Fischer 1988)
3,Blade,VKH 415,415x2_E3,JBP,2021_18,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,23.2,17.1,3.6,1.89,(Fischer 1988)
4,Blade,VKH 415,415x2_3,JBP,2021_19,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,76.1,26.9,15.9,26.77,(Fischer 1988)
5,Blade,VKH 415,415x2,JBP,2021_20,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.0,15.8,5.8,2.86,(Fischer 1988)
6,Blade,VKH 415,NA,JBP,2021_21,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28.3,21.5,5.4,3.50,(Fischer 1988)
7,Blade,VKH 415,415x2_A4,JBP,2021_22,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62.3,16.8,9.6,11.91,(Fischer 1988)
8,Blade,VKH 415,415x2,JBP,2021_23,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,27.2,20.8,4.9,3.51,(Fischer 1988)
9,Blade,VKH 415,415x2_9,JBP,2021_24,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,41.0,14.8,3.8,1.97,(Fischer 1988)
10,Blade,VKH 415,415x2,JBP,2021_26,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,101.0,30.1,8.8,22.35,(Fischer 1988)
11,Blade,VKH 415,415x2_B16,JBP,2021_27,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69.5,26.4,9.9,12.40,(Fischer 1988)
12,Blade,VKH 415,415x2_B6,JBP,2021_28,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,62.2,20.2,6.9,9.64,(Fischer 1988)
13,Blade,VKH 415,415x2,JBP,2021_29,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,30.2,24.4,6.9,6.55,(Fischer 1988)
14,Blade,VKH 415,415x2_B15,JBP,2021_30,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,51.9,23.6,4.7,5.57,(Fischer 1988)
15,Blade,VKH 415,415x2_M1,JBP,2021_31,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,72.8,21.0,7.9,10.63,(Fischer 1988)
16,Blade,VKH 415,415x2,JBP,2021_32,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,27.7,10.1,4.3,1.43,(Fischer 1988)
17,Blade,VKH 415,415x2,JBP,2021_33,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,23.9,30.8,7.2,6.71,(Fischer 1988)
18,Blade,VKH 415,415x2_P4,JBP,2021_60,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,91.8,18.4,8.2,11.41,(Fischer 1988)
19,Blade,VKH 415,415x2_C10,JBP,2021_61,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,83.5,33.3,8.0,19.40,(Fischer 1988)
20,Blade,VKH 415,415x2_18,JBP,2021_62,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.3,20.5,6.8,6.25,(Fischer 1988)
21,Blade,VKH 415,415x2_H3,JBP,2021_63,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,67.7,23.3,6.8,13.40,(Fischer 1988)
22,Blade,VKH 415,415x2_P5,JBP,2021_64,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,47.7,22.4,4.5,4.83,(Fischer 1988)
23,Blade,VKH 415,415x2_B13,JBP,2021_65,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.8,20.9,5.1,5.65,(Fischer 1988)
24,Blade,VKH 415,415x2,JBP,2021_66,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25.6,15.9,4.6,3.17,(Fischer 1988)
25,Blade,VKH 415,415x2_C7,JBP,2021_3,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,78.8,36.7,12.9,39.89,(Fischer 1988)
26,Blade,VKH 415,415x2,JBP,2021_67,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,68.7,20.1,14.2,25.35,(Fischer 1988)
27,Blade,VKH 415,415x2_F1,JBP,2021_68,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,94.5,45.0,11.4,37.27,(Fischer 1988)
28,Blade,VKH 415,415x2_A8,JBP,2021_69,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,83.1,28.2,13.0,32.23,(Fischer 1988)
29,Blade,VKH 415,415x2E2,JBP,2021_70,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,83.9,30.7,11.6,28.31,(Fischer 1988)
30,Blade,VKH 415,415x2_D3,JBP,2021_71,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,80.8,21.1,15.4,17.56,(Fischer 1988)
31,Blade,VKH 415,415x2,JBP,2021_72,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,67.5,25.7,6.4,9.54,(Fischer 1988)
32,Blade,VKH 415,415x2_J2,JBP,2021_73,EGTV,Egtved mark,DK,9.28277,55.62854,Excavation,Federmesser,Flint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,83.5,21.9,5.5,10.41,(Fischer 1988)
